Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.315397.01.1;2013;A3S UP FOR EU CONSORTIUM*SOPRA BELUX SA ALTRAN SA ATOS ORIGIN BELGIUM SA ACCENTURE SA;yes;BE0407211542;AVENUE LOUISE 326 29;BRUXELLES;1050;Belgium;0,00€;;ACP Countries;Operational;126.976,00€;CS 9443 CC DI/06762;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.318576.01.1;2013;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;0,00€;;Rwanda;Operational;126.586,00€;JOINT GOVERNANCE ASSESSMENT (JGA)  MONITORING FRAMEWORK;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.312542.01.1;2013;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;0,00€;;Burundi;Operational;124.818,00€;Etude de faisabilité de la réhabilitation et l'assainissement des pistes de désenclavement associées à la RN 19 au Burundi;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.311019.01.1;2013;EUROPEAN CONSULTANTS ORGANISATION SPRL*ECO 3 ECO;yes;BE0458632133;CHAUSSEE DE LA HULPE 150;BRUXELLES;1170;Belgium;0,00€;;Guinea (Conakry);Operational;123.286,00€;Formulation du Programme 10ème FED d'Appui à la Société Civile en République de Guinée;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);External experts
AID.CTR.308800.01.1;2013;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;0,00€;;Botswana;Operational;123.268,00€;Technical assistance to Support the National Authorising Officer in Botswana;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.330622.01.1;2013;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;0,00€;;Angola;Operational;122.746,00€;Missão de Avaliação Intercalar parcial do Projecto FED/2009/021-626 (EC);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.304389.01.1;2013;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;0,00€;;Ivory Coast;Operational;122.625,00€;Suivi de l'atteinte des indicateurs de tranche variable du programme d'appui budgétaire à la restauration des services de l'Etat en Cote d'Ivoire;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;External experts
AID.CTR.321047.01.1;2013;HTSPE LIMITED*;yes;GB918048517;BOUNDARY WAY THAMESFIELD HOUSE;HEMEL HEMPSTEAD;HP2 7SR;United Kingdom;0,00€;;Uganda;Operational;121.908,00€;To unpack the non-ATAAS DSIP framework implementation plans in Uganda;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.327309.01.1;2013;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;0,00€;;Ethiopia;Operational;121.684,00€;Assistance to Ministry of Tourism and Culture to set up the Tourism Agency and Board;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.312637.01.1;2013;KNOW-SYS CONSORTIUM*UNISYS BELGIUMSA KURT SALMON FRANCE SAS INTRASOFT INTERNATIONAL SA I.R.I.S. SOLUTION & EXPERTS SA SOGETI BELGIUM SA;yes;BE0405914514;AVENUE DU BOURGET 20;BRUXELLES;1130;Belgium;0,00€;;ACP Countries;Operational;120.360,00€;CS 9111 CC DI/06773;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);05 Agriculture and rural development;Public procurement (including provisional commitments)
AID.CTR.316966.01.1;2013;MOORE STEPHENS LLP*;yes;GB243548655;ALDERSGATE STREET 150;LONDON;EC1A 4AB;United Kingdom;0,00€;;Kenya;Operational;118.227,00€;Financial Audit of CDP IV PE 2, PE 3 and PE 4 (CEFII and CDI components);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.324874.01.1;2013;MEDIACOM SARL*;yes;BF00005054X;RUE RESISTANCE 17 MAI LOT 1143;OUAGADOUGOU;01;Burkina Faso;0,00€;;Burkina Faso;Operational;117.247,47€;Recrutement d'une agence de communication/ Visibilité de l'Union européenne dans les projets;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.330719.01.1;2013;COWI BELGIUM SPRL*;yes;BE0472972493;AVENUE DE TERVUREN 13B;BRUXELLES;1040;Belgium;0,00€;;Chad;Operational;116.862,00€;Identification et formulation conjointe (UE– AFD) des interventions dans le domaine du pastoralisme et de la gestion des ressources naturelles;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.330432.01.1;2013;SWORD TECHNOLOGIES SA*;yes;LU18044744;RUE D ARLON 2;WINDHOF;8399;Luxembourg;0,00€;;ACP Countries;Operational;116.600,00€;GIS ATLAS;Directorate-General for Development and Cooperation — EuropeAid;Use of interest (05.10.20);;Public procurement (including provisional commitments)
AID.CTR.306449.01.1;2013;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;0,00€;;Chad;Operational;116.558,00€;Audit des états financiers du Fonds d'Entretien Routier en République du Tchad;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.313607.01.1;2013;SAFEGE SA*;yes;FR82542021829;RUE DU PORT 15-27 PARC DE L ILE;NANTERRE;92000;France;0,00€;;Aruba;Operational;116.104,00€;Assessment of Implementation Education;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.321430.01.1;2013;MWH SA*;yes;BE0460228079;AVENUE DE LA REINE ASTRID 92;LA HULPE;1310;Belgium;0,00€;;Ethiopia;Operational;115.955,00€;Technical Assistance to the Government of Ethiopia - Energy Sector;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.315806.01.1;2013;HTSPE LIMITED*;yes;GB918048517;BOUNDARY WAY THAMESFIELD HOUSE;HEMEL HEMPSTEAD;HP2 7SR;United Kingdom;0,00€;;Cameroon;Operational;115.938,00€;Evaluation à mi-parcours du Programme de Développement Rural (PDR);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.308785.01.1;2013;ASTEC GLOBAL CONSULTANCY LIMITED*;yes;IE6567017J;MERRION SQUARE 25;DUBLIN 2;;Ireland;0,00€;;Angola;Operational;115.850,00€;Coordenação da Ajuda - IT;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.315627.01.1;2013;KNOW-SYS CONSORTIUM*UNISYS BELGIUMSA KURT SALMON FRANCE SAS INTRASOFT INTERNATIONAL SA I.R.I.S. SOLUTION & EXPERTS SA SOGETI BELGIUM SA;yes;BE0405914514;AVENUE DU BOURGET 20;BRUXELLES;1130;Belgium;0,00€;;ACP Countries;Operational;115.800,60€;CS 9619 DI/06773;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.324207.01.1;2013;LANDELL MILLS LIMITED*;yes;GB501874068;BRYER-ASH BUSINESS PARK;TROWBRIDGE;BA14 8HE;United Kingdom;0,00€;;Comoros;Operational;115.618,00€;Actualisation de la politique agricole et formulation d'une stratégie sur le court à long terme pour le secteur comme vecteur pour lutter durablement contre l'insécurité alimentaire aux Comores;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.314665.01.1;2013;HTSPE LIMITED*;yes;GB918048517;BOUNDARY WAY THAMESFIELD HOUSE;HEMEL HEMPSTEAD;HP2 7SR;United Kingdom;0,00€;;Madagascar;Operational;115.475,00€;Etude pour la formulation du programme d'appui à l'emploi et à l'intégration régionale (PROCOM);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.314298.01.1;2013;KNOW-SYS CONSORTIUM*UNISYS BELGIUMSA KURT SALMON FRANCE SAS INTRASOFT INTERNATIONAL SA I.R.I.S. SOLUTION & EXPERTS SA SOGETI BELGIUM SA;yes;BE0405914514;AVENUE DU BOURGET 20;BRUXELLES;1130;Belgium;0,00€;;ACP Countries;Operational;114.278,40€;CS 9398 CC DI/06773;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.297236.01.1;2013;STICHTING CORDAID*CORDAID FOUNDATION;yes;;LUTHERSE BURGWAL 10;DEN HAAG;2512 CB;Netherlands;0,00€;;Tanzania;Operational;114.130,00€;Tanzanian hand-woven designs on the world market;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.325504.01.1;2013;CFBT EDUCATION TRUST LBG*;yes;GB614867912;QUEENS ROAD 60;READING;RG1 4BS;United Kingdom;0,00€;;Swaziland;Operational;114.094,00€;EDF11 programming - Identification of interventions for the social sector in Swaziland;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.326622.01.1;2013;AGRECO GEIE*;yes;BE0446816741;AVENUE LOUISE 251 23;BRUXELLES;1050;Belgium;0,00€;;Guinea-Bissau;Operational;113.100,00€;Assistance technique en conservation de la biodiversité et gestion des ressources naturelles;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.311758.01.1;2013;DFC SA*;yes;ESA78398906;ARAGO 287 4 1A;BARCELONA;08009;Spain;0,00€;;ACP Countries;Operational;112.881,26€;Technical assistance for preparation and organisation of the 10th Meeting of ACP NAO and RAO - 2013;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.331626.01.1;2013;DFC SA*;yes;ESA78398906;ARAGO 287 4 1A;BARCELONA;08009;Spain;0,00€;;Burundi;Operational;112.652,00€;Appui à la préparation et à l'exécution du budget du Burundi.;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.333407.01.1;2013;ASSOCIATION LALANA*;yes;MG3105233;ROUTE CIRCULAIRE 249;ANTANANARIVO;101;Madagascar;0,00€;;Madagascar;Operational;112.408,31€;Assistance et sensibilisation dans le cadre des travaux de curage d'urgence des réseaux d'assainissement de la ville d'Antananarivo  2013-2014;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.327274.01.1;2013;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;DK44623528;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;0,00€;;Congo (Brazzaville);Operational;112.332,00€;Evaluation du Projet de Consolidation de la Réconciliation (PCR) en République du Congo et identification du futur projet d'appui à la décentralisation et au développement local dans le cadre du 11ème Fonds Européen de Développement;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.319868.01.1;2013;TRANSTEC SA*;yes;BE0425684302;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;0,00€;;Tanzania;Operational;110.874,00€;Identification 11th EDF Programming - Sustainable Agriculture;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.323032.01.1;2013;AGRICONSULTING EUROPE SA*AESA;yes;BE0452263785;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;0,00€;;Swaziland;Operational;110.156,00€;Programming of interventions for the agricultural sector;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.311890.01.1;2013;ORGANISATION DE LA CEPGL POUR L'ENERGIE DES PAYS DES GRANDS LACS*EGL;yes;;BOULEVARD DE L UPRONA 3812-3817;BUJUMBURA;;Burundi;0,00€;;ACP Countries;Operational;110.000,00€;Appui aux activités de l'Organisation de la CEPGL pour l'Energie des Grands Lacs-3ème phase de subvention dans le cadre du 10ème FED;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grants
AID.CTR.313916.01.1;2013;FRANCE EXPERTISE INTERNATIONALE*FEI;yes;FR30531496180;RUE LINOIS 45;PARIS;75015;France;0,00€;;Mali;Operational;110.000,00€;Formulation du Programme d'Appui à la Justice et la Sécurité Intérieure au Mali - PAJSIM;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.314199.01.1;2013;LDK CONSULTANTS ENGINEERS & PLANNERS SA*;yes;EL094061957;OFF THIVAIDOS STREET 21;NEA KIFISSIA;14564;Greece;0,00€;;ACP Countries;Operational;107.070,15€;Preparatory Meeting of the Global Fund Replenishment 2014-2016;Directorate-General for Development and Cooperation — EuropeAid;Use of interest (05.10.20);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.313736.01.1;2013;AIDE A LA DECISION ECONOMIQUE SA*;yes;BE0439825021;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;0,00€;;Tanzania;Operational;106.616,00€;PEFA TZ 2013;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.333191.01.1;2013;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;0,00€;;Cameroon;Operational;104.885,00€;Appui à l'élaboration d'un cahier des charges pour l'acquisition d'un progiciel de gestion intégrée des impôts;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.336038.01.1;2013;EURONET CONSULTING GEIE*;yes;BE0446840101;RUE MONTOYER 39;BRUXELLES;1040;Belgium;0,00€;;ACP Countries;Operational;104.850,00€;Evaluation of the Global Climate Change Alliance (GCCA) and mid-term assessment of the INTRA ACP GCCA associated to REQUEST N° 2013/ 331-334 Global GCCA;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);;Public procurement (including provisional commitments)
AID.CTR.317747.01.1;2013;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;0,00€;;Mali;Operational;104.202,00€;Evaluation externe à mi-parcours du PAGAM/GFP II;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.329008.01.1;2013;IBF INTERNATIONAL CONSULTING SA*;yes;BE0417827795;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;0,00€;;Sub-Saharan Africa;Operational;103.979,00€;Final Evaluation of the African Union Support Programme;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);;Public procurement (including provisional commitments)
AID.CTR.312168.01.1;2013;DFC SA*;yes;ESA78398906;ARAGO 287 4 1A;BARCELONA;08009;Spain;0,00€;;Southern Africa Region (EDF 10);Operational;103.867,00€;Preparatory Work towards Operationalising the Project Preparation Development Facility (PPDF);Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.321959.01.1;2013;IBF INTERNATIONAL CONSULTING SA*;yes;BE0417827795;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;0,00€;;Burkina Faso;Operational;103.680,00€;Assistance technique pour l'élaboration du Plan Stratégique de Développement du Festival Panafricain du Cinéma et de télévision de Ouagadougou (FESPACO);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.321311.01.1;2013;ACE INTERNATIONAL CONSULTANTS SL*;yes;ESB79217279;CALLE SAGUNTO 17;MADRID;28010;Spain;0,00€;;Ghana;Operational;103.358,00€;GHANA - “REVIEW OF PERFORMANCE INDICATORS FOR THE SECTOR REFORM CONTRACT UNDER THE GHANA DECENTRALISATION SUPPORT PROGRAMME FUNDED ON 10TH EDF”;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.314299.01.1;2013;CAMOES - INSTITUTO DA COOPERACAO EDA LINGUA IP*CICL;yes;PT510322506;AVENIDA DA LIBERDADE 270;LISBOA;1250 149;Portugal;0,00€;;PALOP - African Countries with official language Portuguese;Operational;102.926,00€;Coordination of the formulation phase of Support to improvement in quality and proximity of public services of PALOP and East Timor egovernance;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.314823.01.1;2013;INTERMEDIA NCG LTD*;yes;KE0014135V;OFF JAMES GICHURU ROAD;NAIROBI;00603;Kenya;0,00€;;Somalia;Operational;102.900,00€;Coordination and Senior Advisory Services to the New Deal Process for Somalia;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.321177.01.1;2013;STTE CONSORTIUM SOCIETE MOMENTANEE*STDE;yes;BE0886708276;GULLEDELLE 92;BRUXELLES;1200;Belgium;0,00€;;Gabon;Operational;102.744,00€;AT à la CAON au Gabon - Section infrastructures;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.332681.01.1;2013;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;ESA28958684;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;0,00€;;Chad;Operational;102.730,00€;Evaluation et perspective de développement et de pérennisation des Cellules de Conseil et d'Appui à la Gestion (CCAG);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.330674.01.1;2013;MONDIAL GESELLSCHAFT MBH & CO KG*;yes;ATU17358605;KAISER FRANZ RING 2;BADEN;2500;Austria;0,00€;;ACP Countries;Operational;102.500,00€;Organisation of the intra-ACP Academic Mobility Scheme Training on Project Management for Lot 1 Africa;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);;Public procurement (including provisional commitments)
AID.CTR.318917.01.1;2013;ECORYS NEDERLAND BV*;yes;NL808028741B08;WATERMANWEG 44;ROTTERDAM;3067 GG;Netherlands;0,00€;;Chad;Operational;100.685,00€;Renforcement des capacités de la DGI, du CCSRP et de la Chambre des Comptes;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.315811.01.3;2013;CARE FRANCE ASSOCIATION*;yes;;RUE ARCHEREAU 71;PARIS;75019;France;0,00€;;East Africa Region;Operational;100.000,00€;ECHO/-SF/EDF/2012/01005 Renforcement de la résilience des communautés vulnérables aux cyclones à Madagascar – «Soa Fiarina»;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grants
AID.CTR.320403.01.1;2013;AGRICONSULTING EUROPE SA*AESA;yes;BE0452263785;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;0,00€;;Mozambique;Operational;100.000,00€;SETSAN Food Security Baseline Survey;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.318743.01.1;2013;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;0,00€;;Sub-Saharan Africa;Operational;99.930,00€;Technical assistance for Communication and Visibility measures for the Intra-ACP programme ''Support to the Air transport sector and Satellite service applications'';Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);;Public procurement (including provisional commitments)
AID.CTR.316646.01.1;2013;EUROPEAN DYNAMICS CONSORTIUM ESP-DESIS II-LOT 1C*EUROPEAN DYNAMICS SASYGNITY SA KPMG ADVISORY SPA NOVABASE CONSULTING - CONSULTORIA, DESENV;yes;EL094402295;KIFISSIAS AVE AND ARKADIOU STR 209;MAROUSSI;151 24;Greece;0,00€;;ACP Countries;Operational;99.339,60€;CS 9789 DI/06767;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.312859.01.1;2013;ARTELIA VILLE & TRANSPORT SAS*SOGREAH;yes;FR40444523526;RUE DE LORRAINE 6;ECHIROLLES;38130;France;0,00€;;Haiti;Operational;99.300,00€;Expertise complémentaire de la fissure de la RN 3, au niveau du Lac de Peligre, et proposition de solution;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.313808.01.1;2013;AGRICONSULTING EUROPE SA*AESA;yes;BE0452263785;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;0,00€;;Vanuatu;Operational;97.990,00€;Short Term technical assistance support for the re-assessment of co-operatives in rural communities;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.319351.01.1;2013;ECORYS NEDERLAND BV*;yes;NL808028741B08;WATERMANWEG 44;ROTTERDAM;3067 GG;Netherlands;0,00€;;Burkina Faso;Operational;97.590,00€;Assistance technique au démarrage pour la mise en oeuvre du Programme d'Appui au Développement du Secteur Privé du Burkina Faso;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.328173.01.1;2013;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;0,00€;;Congo (Brazzaville);Operational;97.349,00€;Evaluation du programme ANE/AL 2009-2013 en République du Congo;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.312762.01.1;2013;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;BE0442745018;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;0,00€;;Caribbean Region;Operational;97.315,00€;CIF: Regional Launch of the Caribbean Investment Facility. 21-22 March Barbados;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.299188.01.1;2013;DFC SA*;yes;ESA78398906;ARAGO 287 4 1A;BARCELONA;08009;Spain;0,00€;;Botswana;Operational;97.210,00€;Public Expenditure and Financial Accountability (PEFA) Repeat Assessment to Botswana;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.334301.01.1;2013;CARDNO EMERGING MARKETS (UK) LTD*;yes;GB225943652;OXFORD ROAD OXFORD HOUSE;THAME;OX9 2AH;United Kingdom;0,00€;;Sierra Leone;Operational;96.896,00€;Identification and Formulation of EU Actions to support food and nutrition security in Sierra Leone under the 11th EDF;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
AID.CTR.313779.01.1;2013;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;DE142927394;MERZHAUSER STR 183;FREIBURG;79100;Germany;0,00€;;Chad;Operational;96.875,00€;Demande de prestation de service pour la production audiovisuelle;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.319054.01.1;2013;SAFEGE SA*;yes;FR82542021829;RUE DU PORT 15-27 PARC DE L ILE;NANTERRE;92000;France;0,00€;;Sao Tome and Principe;Operational;96.869,00€;Evaluation finale PEFA RDSTP;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;External experts
AID.CTR.310160.01.1;2013;NEWTECH CONSULTING GROUP LTD*;yes;SD2603;STR 33 BLOCK 10 RIYADH;KHARTOUM;12214;Sudan;0,00€;;South Sudan;Operational;96.800,00€;Provision of Technical Assistance supporting the closing phase of MacDowel LTD works contract for the construction of Ministry of Justice (MoJ) and Judiciary (JoSS) offices and accommodation in Torit, Bor and Kwajock.;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);European Development Fund (9th EDF);Public procurement (including provisional commitments)
AID.CTR.317439.01.1;2013;TRANSTEC SA*;yes;BE0425684302;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;0,00€;;Guinea (Conakry);Operational;96.740,00€;Etude de faisabilité d'un projet pilote de formule de gestion des fonctionnaires de l'Etat basé sur la performance;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Public procurement (including provisional commitments)
AID.CTR.309492.01.1;2013;RESOURCES AND LOGISTICS SARL*;yes;;RUE PIERRE HARET 2;PARIS 09;75009;France;0,00€;;Tonga;Operational;96.636,00€;TERM OFF-GRID COORDINATOR;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.321429.01.1;2013;ESABORA SAS*AROBASE;yes;FR69354088528;BOULEVARD AUGUSTE BLANQUI 45;PARIS;75013;France;0,00€;;Congo (Brazzaville);Operational;96.400,00€;Fourniture du logiciel de gestion de la chaîne pénale et du casier judiciaire;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Public procurement (including provisional commitments)
