Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.243842.01.1;2010;Confidential;yes;;*****;*****;******;Belgium;;CONFIDENTIAL;Operational;N.A.;133.479,00 €;CONFIDENTIAL;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.233872.01.1;2010;ACE INTERNATIONAL CONSULTANTS SL*;yes;;CALLE SAGUNTO 17;MADRID;28010;Spain;;Lesotho;Operational;N.A.;132.990,00 €;Consultancy to assist the NAO to perfom a quality audit and to resolve issues concerning the Integrated Financial Management Information System (IFMIS);Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.232396.01.1;2010;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;;Somalia;Operational;N.A.;132.377,00 €;Technical Assistance for Training of Domestic Observers in view of the Presidential & Local Elections in Somaliland;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.251244.01.1;2010;COWI BELGIUM SPRL*;yes;;AVENUE DE TERVUREN 13B;BRUXELLES;1040;Belgium;;Benin;Operational;N.A.;131.400,00 €;Contrôle et surveillance des travaux d''aménagement de la sortie Nord-Ouest de Cotonou;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.254164.01.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;Intra ACP Allocations;Operational;N.A.;129.813,00 €;African Peace Facility Evaluation (Part 1);Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.242187.01.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;Timor Leste;Operational;N.A.;128.666,00 €;Identification Study for the Support to Health project;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.248170.01.1;2010;BUSINESS AND STRATEGIES IN EUROPE SA*;yes;;RUE DE LA LOI 81A;BRUXELLES;1040;Belgium;;Intra ACP Allocations;Operational;N.A.;128.310,00 €;TA Training Centres ECCAS;Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.229513.02.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;Dominican Republic;Operational;N.A.;127.125,00 €;FOrmulation of the NSA & LA 10th EDF and Evaluation of PRIL 9th EDF;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.253504.01.1;2010;COWI BELGIUM SPRL*;yes;;AVENUE DE TERVUREN 13B;BRUXELLES;1040;Belgium;;Uganda;Operational;N.A.;126.282,00 €;Study on Promoting Commercial Aquaculture in Uganda;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245199.01.1;2010;AIDE A LA DECISION ECONOMIQUE SA*;yes;;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;Central African Republic;Operational;N.A.;126.165,00 €;Identification et formulation des 2nd programmes 10ème FED d''appui budgétaire et d''appui à l''ON du FED en RCA;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245389.01.1;2010;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;;Chad;Operational;N.A.;123.728,00 €;Recrutement d''une équipe d''experts en réforme de la procedure penale;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.242579.01.1;2010;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;;MERZHAUSER STR 183;FREIBURG;79100;Germany;;Chad;Operational;N.A.;123.094,00 €;Recrutement d''une équipe d''assistants techniques experts en formation continue des personnels de justice;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.225989.01.1;2010;PARSONS BRINCKERHOFF LTD*PB;yes;;WILLIAM ARMSTRONG DRIVE AMBER COURT;NEWCASTLE UPON TYNE;NE4 7YQ;United Kingdom;;Uganda;Operational;N.A.;122.735,00 €;Feasibility Study: Building a Ugandan Road Sector Policy Support Programme - Sector Budget Support Component ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.232452.01.1;2010;ACE INTERNATIONAL CONSULTANTS SL*;yes;;CALLE SAGUNTO 17;MADRID;28010;Spain;;Chad;Operational;N.A.;118.810,00 €;Audit des textes législatifs et réglementaires relatifs au commerce et appui à l?élaboration des nouveaux textes au Tchad;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.256656.01.1;2010;TRANSTEC SA*;yes;;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;;Burundi;Operational;N.A.;118.275,00 €;Assistance Technique pour le renforcement des capacités du Ministère du Commerce, de l?Industrie, des Postes et du Tourisme du Burundi;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.249008.01.1;2010;STE. KLYNVELD PEAT MARWICK GOERDELER CONGO SPRL*KPMG RDC;yes;;BOULEVARD DU 30 JUIN 22B;KINSHASA I;.;Congo (Democratic Republic of);;Congo (Democratic Republic of the);Operational;N.A.;118.000,00 €;Ex ante Audit VFLEX 2010 ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.247810.01.1;2010;RESOURCES AND LOGISTICS SARL*;yes;;RUE PIERRE HARET 2;PARIS 09;75009;France;;ACP Countries;Operational;N.A.;116.108,00 €;Support to the regional African Power Pools and AFUR;Directorate-General for Development and Cooperation ? EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.246830.01.1;2010;AIDE A LA DECISION ECONOMIQUE SA*;yes;;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;Kenya;Operational;N.A.;116.000,00 €;Identification and Formulation of EC TRA activities in Kenya;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.242076.01.1;2010;MWH SA*;yes;;AVENUE DE LA REINE ASTRID 92;LA HULPE;1310;Belgium;;Sierra Leone;Operational;N.A.;114.890,00 €;Identification study for the Moyamba Mini Hydroelectric Project;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245718.01.1;2010;PLANET AE*PLANET PROVISION OF CONSULTANCY SERVICES;yes;;LOUISE RIENCOURT 64 APOLLON TOWER;ATHINA;115 23;Greece;;Kenya;Operational;N.A.;114.630,00 €;DETAILED DESIGN AND TENDER DOCUMENTATION FOR TOURIST ROADS IN ABERDARE NATIONAL PARK AND MT. KENYA NATIONAL PARK - KENYA;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.235077.01.1;2010;PARSONS BRINCKERHOFF LTD*PB;yes;;WILLIAM ARMSTRONG DRIVE AMBER COURT;NEWCASTLE UPON TYNE;NE4 7YQ;United Kingdom;;Burundi;Operational;N.A.;114.530,00 €;INTEGRATION DES ASPECTS ''''APPUI INSTITUTIONNEL'''' ET ''''ENTRETIEN DURABLE DES ROUTES'''' DANS LA FA DU PROJET RN 19 - BURUNDI;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.248146.01.1;2010;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;;MERZHAUSER STR 183;FREIBURG;79100;Germany;;ACP Countries;Operational;N.A.;114.160,00 €;Technical assistance - ACP Ministerial Meeting on the Development of Mineral Resources ;Directorate-General for Development and Cooperation ? EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.244176.01.1;2010;MAZARS SA*;yes;;RUE HENRI REGNAULT 61 TOUR EXALTIS;COURBEVOIE;92400;France;;Malawi;Operational;N.A.;112.250,00 €;Financial and systems audit (quarterly audits) of FIDP phase II PE1;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231452.01.1;2010;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;;Sierra Leone;Operational;N.A.;111.822,00 €;Preparation of a National Rural/Feeder Roads Policy in Sierra Leone;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.251830.01.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;West Africa Region;Operational;N.A.;110.920,00 €;Identification Study for Migration Support under the 10th EDF;Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231388.01.1;2010;COWI BELGIUM SPRL*;yes;;AVENUE DE TERVUREN 13B;BRUXELLES;1040;Belgium;;Benin;Operational;N.A.;110.716,00 €;Audit Technique réhabilitation route Parakou-Béroubouay;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.253441.01.1;2010;MOORE STEPHENS LLP*;yes;;ALDERSGATE STREET 150;LONDON;EC1A 4AB;United Kingdom;;All Countries;Operational;N.A.;110.481,00 €;Verification expenditure to the AMISOM IV (ex-ante before payments);Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.232471.01.1;2010;CAMBRIDGE EDUCATION LIMITED*;yes;;SYDENHAM ROAD 8 10;CROYDON;CR0 2EE;United Kingdom;;Barbados;Operational;N.A.;110.100,00 €;Technical Assistance for the Provision of Consultancy Services to Prepare Programming Documents for the Barbados Human Resource Development Programme and Finalise a Barbados Human Resource Development Strategy;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.255180.01.1;2010;EUROPEAN CONSULTANTS ORGANISATION SPRL*ECO 3 ECO;yes;;CHAUSSEE DE LA HULPE 150;BRUXELLES;1170;Belgium;;Papua New Guinea;Operational;N.A.;109.964,00 €;''Institutional Capacity Building of the NAO system in PNG'' ? Mid term Evaluation and Formulation of the next phase;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.239004.01.1;2010;ACE INTERNATIONAL CONSULTANTS SL*;yes;;CALLE SAGUNTO 17;MADRID;28010;Spain;;Dominican Republic;Operational;N.A.;109.489,00 €;ELABORACION DE UN INFORME DE GASTO PUBLICO Y DE RENDICION DE CUENTAS EN RD MEDICION DESEMPENO PEFA;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.228015.01.1;2010;ALATEC INGENIEROS CONSULTORES Y ARQUITECTOS SA*;yes;;CALLE JOSE ECHEGARAY 14;LAS ROZAS;28230;Spain;;Liberia;Operational;N.A.;109.315,00 €;10 EDF Road Transport Sector Assessment and Project Identification;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.250544.01.1;2010;EUROPEAN CONSULTANTS ORGANISATION SPRL*ECO 3 ECO;yes;;CHAUSSEE DE LA HULPE 150;BRUXELLES;1170;Belgium;;Nigeria;Operational;N.A.;109.250,00 €;Formulation of the anti-corruption support Nigeria 10th EDF ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.238864.01.1;2010;AGRICONSULTING EUROPE SA*AESA;yes;;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;Overseas countries and territories ;Operational;N.A.;107.950,00 €;Formulation and feasibility verification of a programme for strengthening SMEs of the British & Dutch OCTs in the Caribbean ;Directorate-General for Development and Cooperation ? EuropeAid;Technical asssitance / studies OCT (03.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.252926.01.1;2010;LANDELL MILLS LIMITED*;yes;;BRYER-ASH BUSINESS PARK;TROWBRIDGE;BA14 8HE;United Kingdom;;Ivory Coast;Operational;N.A.;107.220,00 €;Etude de faisabilité et formulation d''un programme d''appui au développement des plantations villageoises de banane;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.238453.01.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;Ivory Coast;Operational;N.A.;106.656,00 €;Etude de faisabilité pour la mise en place d?une composante d?appui communautaire basée sur les Etablissements sanitaires à base communautaire (ESBC) dans le futur projet d?appui au secteur de la santé dans le cadre du 10ième FED en Côte d?Ivoire ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.252776.01.1;2010;COOPERATIVA MURATORI E CEMENTISTI -CMC DI RAVENNA*CMC DI RAVENNA;yes;;VIA TRIESTE 76;RAVENNA;48100;Italy;;Jamaica;Operational;N.A.;105.451,64 €;Jamaica Budget Support - Communications and Media Support ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231447.01.1;2010;ECORYS NEDERLAND BV*;yes;;WATERMANWEG 44;ROTTERDAM;3067 GG;Netherlands;;Cameroon;Operational;N.A.;104.016,00 €;Elaboration d''une stratégie et d''un plan de formation pour la mise en oeuvre de la réforme des finances publiques ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.254750.01.1;2010;APPLICATION EUROPEENNE DE TECHNOLOGIES ET DE SERVICES SARL*AETS;yes;;AVENUE ANDRE MARIE AMPERE 17;LONS;64140;France;;Ethiopia;Operational;N.A.;103.135,00 €;Development of Renewable Energies in the Horn of Africa Region-Revision Action Fiche;Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.248687.01.1;2010;AGRICONSULTING EUROPE SA*AESA;yes;;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;Senegal;Operational;N.A.;101.606,00 €;Mission de formulation d''un projet sur la pêche au Sénégal et mesures d''accompagnement;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.249320.01.1;2010;MWH SA*;yes;;AVENUE DE LA REINE ASTRID 92;LA HULPE;1310;Belgium;;Jamaica;Operational;N.A.;101.106,00 €;CDM Consultant for LNG Fuel Switching Project;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.235049.01.1;2010;TRANSTEC SA*;yes;;AVENUE DE TYRAS 75;BRUXELLES;1120;Belgium;;Chad;Operational;N.A.;100.845,00 €;Recrutement d''une équipe d''assistants techniques experts en police judiciaire;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.251095.01.1;2010;STTE CONSORTIUM SOCIETE MOMENTANEE*STDE;yes;;GULLEDELLE 92;BRUXELLES;1200;Belgium;;Burkina Faso;Operational;N.A.;99.906,00 €;ETUDE-BILAN DES REALISATIONS DES COMMUNES DANS LE CADRE DU TRANSFERT DES RESSOURCES, ET DE CELLES DE L?AGETEER ET DU FEER DANS LE CADRE DE LA MAITRISE D?OUVRAGE DELEGUEE PAR LES DRAHRH.;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.246185.01.1;2010;Natural person;yes;;*****;*****;******;Italy;;Somalia;Operational;N.A.;99.750,00 €;CONFIDENTIAL;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.252849.01.1;2010;AGRECO GEIE*;yes;;AVENUE LOUISE 251 23;BRUXELLES;1050;Belgium;;Central Africa Region (EDF 10);Operational;N.A.;99.173,00 €;MISSION D?ELABORATION DU PROGRAMME ECOFAC - 10ème FED AFRIQUE CENTRALE ;Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.227467.01.1;2010;CAMBRIDGE EDUCATION LIMITED*;yes;;SYDENHAM ROAD 8 10;CROYDON;CR0 2EE;United Kingdom;;Papua New Guinea;Operational;N.A.;98.600,00 €;Formulation of Human Resources Development Programme Phase I;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.247645.01.1;2010;STTE CONSORTIUM SOCIETE MOMENTANEE*STDE;yes;;GULLEDELLE 92;BRUXELLES;1200;Belgium;;Central African Republic;Operational;N.A.;98.536,00 €;Etude diagnostique et identification d''un programme d''appui au secteur d''entretien routier et du transport par voie d''eau.;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.249045.01.1;2010;AGRER SA*;yes;;AVENUE LOUISE 251/23;BRUXELLES;1050;Belgium;;Belize;Operational;N.A.;97.950,00 €;Elaboration of a Banana Competitiveness Strategy for Belize;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.236679.01.2;2010;DFC SA*;yes;;BALMES 89-91 7/5;BARCELONA;08008;Spain;;Benin;Operational;N.A.;96.476,60 €;AT CT pour la 1ère année de mise en oeuvre du Projet d''Appui Conjoint GFP et Stat;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.248860.01.1;2010;GRONTMIJ AS*GMDK CARL BRO GROUP ANDERSKOUV & THOMSEN AXEL NIELSEN JOHS JORGENSEN ACOUSTICA SKANDINAVISK LYDTEKNIK  MICRO CONSULT DANEDUC;yes;;GRANSKOVEN 8;GLOSTRUP;2600;Denmark;;Zambia;Operational;N.A.;95.934,00 €;Preparation of a new Civil Aviation Act to accommodate the restructuring of the Department of Civil Aviation in Zambia;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.234968.01.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;Benin;Operational;N.A.;95.600,00 €;Assistance technique en charge d''une mission d''audit institutionnel et organisationnel du MJLDH;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.249813.01.1;2010;AGRICONSULTING EUROPE SA*AESA;yes;;AVENUE DE TERVUREN 36/21;BRUXELLES;1040;Belgium;;Central Africa Region (EDF 10);Operational;N.A.;95.598,00 €;ETUDE sur l''intégration régionale et les spécificités nationales de Sao Tome e Principe dans ce cadre;Directorate-General for Development and Cooperation ? EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.252646.01.1;2010;UNITED NATIONS POPULATION FUND*UNFPA FONDS DES NATIONS UNIES POUR LA POPULATION FNUAP;yes;;EAST 42ND STREET 220;NEW YORK;10017;United States;;Zimbabwe;Operational;100 %;95.000,00 €;The 2010 Demographic and Health Survey Survey (DHS);Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.253586.01.1;2010;Confidential;yes;;*****;*****;******;Belgium;;CONFIDENTIAL;Operational;N.A.;94.894,00 €;CONFIDENTIAL;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241819.01.1;2010;ERNST AND YOUNG BEDRIJFSREVISOREN CVBA*ERNST ET YOUNG REVISEURS D ENTREPRISES;yes;;DE KLEETLAAN 2;DIEGEM;1831;Belgium;;ACP Countries;Operational;N.A.;94.797,00 €;5 PILLAR ASSESSMENT OF Unidade Técnica da Reforma da Administração Financeiro do Estado (UTRAFE) AND Tribunal Administrativo ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231970.01.1;2010;COWI AS*KAMPSAX GEODAN GEOPLUS KAMPSAX DATA GEOPLAN GEOMASTERS GEODATA AGRINOVA INTERNATIONAL KAMPSAX INTERNATIONAL KAMPSAX TEKNIK;yes;;PARALLELVEJ 2;KONGENS LYNGBY;2800;Denmark;;Tanzania;Operational;N.A.;93.430,00 €;Call for Proposals Guidelines preparation and Evaluation of Projects for the 10th EDF Rural Energy Programme in Tanzania;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241497.01.1;2010;GRONTMIJ AS*GMDK CARL BRO GROUP ANDERSKOUV & THOMSEN AXEL NIELSEN JOHS JORGENSEN ACOUSTICA SKANDINAVISK LYDTEKNIK  MICRO CONSULT DANEDUC;yes;;GRANSKOVEN 8;GLOSTRUP;2600;Denmark;;Comoros;Operational;N.A.;93.150,00 €;Controle et Supervision des Travaux financés sous TCF 10ème FED pour le programme d''Education PASEC ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.234930.01.1;2010;MAZARS SA*;yes;;RUE HENRI REGNAULT 61 TOUR EXALTIS;COURBEVOIE;92400;France;;Malawi;Operational;N.A.;92.250,00 €;Financial & Systems (Quarterly) Audits- CD-NAO SU PE1;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.253194.01.1;2010;BCD TRAVEL BELGIUM NV*;yes;;STATIONSTRAAT 100;MECHELEN;2800;Belgium;;Overseas countries and territories ;Operational;N.A.;91.991,50 €;Colloque sur les politiques d''aménagement du littoral - Polynésie Française;Directorate-General for Development and Cooperation ? EuropeAid;Technical asssitance / studies OCT (03.10.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.228957.01.1;2010;AIDE A LA DECISION ECONOMIQUE SA*;yes;;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;Benin;Operational;N.A.;90.608,00 €;Plateforme numérique pour le système statistique national;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.235688.01.1;2010;PARTICIP GMBH CONSULTANTS FUR ENTWICKLUNG UND UMWELT*;yes;;MERZHAUSER STR 183;FREIBURG;79100;Germany;;Papua New Guinea;Operational;N.A.;86.776,00 €;10th EDF project - IDENTIFICATION AND FORMULATION OF NSA SUPPORT IN PNG;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.256531.01.1;2010;DFC SA*;yes;;BALMES 89-91 7/5;BARCELONA;08008;Spain;;Cameroon;Operational;N.A.;86.560,00 €;Evaluation des dispositifs de préparation et de suivi du Budget dans les ministères et proposition d?un cadre opérationnel (organique et/ou fonctionnel) des ministères dans la préparation et le suivi du budget dans le cadre du nouveau régime financ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.237800.01.1;2010;AIDE A LA DECISION ECONOMIQUE SA*;yes;;RUE DE CLAIRVAUX 40/101;LOUVAIN LA NEUVE;1348;Belgium;;Papua New Guinea;Operational;N.A.;86.160,00 €;EDF 10 - Identification and formulation of TRA support in PNG;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.244111.01.1;2010;ACE INTERNATIONAL CONSULTANTS SL*;yes;;CALLE SAGUNTO 17;MADRID;28010;Spain;;Ivory Coast;Operational;N.A.;85.797,00 €;Identification du Programme Gouvernance;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241236.01.1;2010;IBF INTERNATIONAL CONSULTING SA*;yes;;AVENUE LOUISE 209A;BRUXELLES;1050;Belgium;;Namibia;Operational;N.A.;84.200,26 €;Mid Term Review 9th EDF & Scoping Study of 10th EDF support to Non-State Actors, Namibia;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.238665.01.1;2010;CARDNO EMERGING MARKETS (UK) LTD*;yes;;OXFORD ROAD OXFORD HOUSE;THAME;OX9 2AH;United Kingdom;;Swaziland;Operational;N.A.;83.672,00 €;Technical Assistance: Support to the 10th EDF Micro Projects Programme Start-up;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
